_type,url,date,rawContent,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,links,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,card,viewCount,vibe
snscrape.modules.twitter.Tweet,https://twitter.com/PeterCa22748591/status/1616948755768700929,2023-01-21 23:59:59+00:00,@corybernardi But we've got equity in our house...our house is part Communist!!!,@corybernardi But we've got equity in our house...our house is part Communist!!!,1616948755768700929,"{'_type': 'snscrape.modules.twitter.User', 'username': 'PeterCa22748591', 'id': 1011185661867511809, 'displayname': 'Peter Campbell', 'rawDescription': 'Former journo/politics/law grad. Psychotherapist in private practice. Wear your flag on the inside.', 'renderedDescription': 'Former journo/politics/law grad. Psychotherapist in private practice. Wear your flag on the inside.', 'descriptionLinks': None, 'verified': False, 'created': '2018-06-25T09:53:43+00:00', 'followersCount': 322, 'friendsCount': 421, 'statusesCount': 40817, 'favouritesCount': 49766, 'listedCount': 1, 'mediaCount': 184, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/PeterCa22748591'}",0,0,3,0,1616920732063399937,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,1.6169207320634e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'corybernardi', 'id': 80965423, 'displayname': 'Bernardi', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/corybernardi'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'corybernardi', 'id': 80965423, 'displayname': 'Bernardi', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/corybernardi'}]",,,,,,67.0,
snscrape.modules.twitter.Tweet,https://twitter.com/RyanWil62993886/status/1616948754866929665,2023-01-21 23:59:59+00:00,"Think about this Microsoft sacked 12,000 from one department. Not one word from Bill Gates?
Then A secret meeting between Bill Gates &amp; Albanese at Kirribilli House in Sydney for four hours.
A secret meeting organised when, by whom, Why?
Not one media interview, not even the ABC?","Think about this Microsoft sacked 12,000 from one department. Not one word from Bill Gates?
Then A secret meeting between Bill Gates &amp; Albanese at Kirribilli House in Sydney for four hours.
A secret meeting organised when, by whom, Why?
Not one media interview, not even the ABC?",1616948754866929665,"{'_type': 'snscrape.modules.twitter.User', 'username': 'RyanWil62993886', 'id': 1222987219528384513, 'displayname': 'Raymond McKeown', 'rawDescription': 'There are several clear & present dangers to what was the Australian way of life. The Greens & lefty media want to destroy conservatives ! Time to stand up !', 'renderedDescription': 'There are several clear & present dangers to what was the Australian way of life. The Greens & lefty media want to destroy conservatives ! Time to stand up !', 'descriptionLinks': None, 'verified': False, 'created': '2020-01-30T20:58:08+00:00', 'followersCount': 1949, 'friendsCount': 1018, 'statusesCount': 74429, 'favouritesCount': 49, 'listedCount': 9, 'mediaCount': 197, 'location': 'Melbourne, Sydney, N/E Vict.', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1277833837356019712/JPv_p4Jh_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1222987219528384513/1580718518', 'label': None, 'url': 'https://twitter.com/RyanWil62993886'}",9,27,85,4,1616948754866929665,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,,,,,,1418.0,
snscrape.modules.twitter.Tweet,https://twitter.com/Dondee12193923/status/1616948754329833474,2023-01-21 23:59:59+00:00,"@FoxNews Nancy Pelosi wants priests to perform an exorcism to force satanic forces from her house.  Why does she need a priest, why doesn't she just leave?  Odds are she is the only demon in the house.","@FoxNews Nancy Pelosi wants priests to perform an exorcism to force satanic forces from her house.  Why does she need a priest, why doesn't she just leave?  Odds are she is the only demon in the house.",1616948754329833474,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Dondee12193923', 'id': 1603079289787895810, 'displayname': 'Dondee', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': '2022-12-14T17:28:47+00:00', 'followersCount': 7, 'friendsCount': 19, 'statusesCount': 412, 'favouritesCount': 550, 'listedCount': 3, 'mediaCount': 0, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/Dondee12193923'}",0,0,0,0,1616932409630392321,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,1.6169324096303923e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'FoxNews', 'id': 1367531, 'displayname': 'Fox News', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/FoxNews'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'FoxNews', 'id': 1367531, 'displayname': 'Fox News', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/FoxNews'}]",,,,,,38.0,
snscrape.modules.twitter.Tweet,https://twitter.com/enzmig1/status/1616948753880989696,2023-01-21 23:59:59+00:00,@jshiika Isso existe? Kkkkk,@jshiika Isso existe? Kkkkk,1616948753880989696,"{'_type': 'snscrape.modules.twitter.User', 'username': 'enzmig1', 'id': 911845590417510401, 'displayname': 'Enzo MIDguel - *ASSISTAM* SHADOWS HOUSE', 'rawDescription': '➡️Header: @1Nicorniosan /Icon: @alfisoi⬅️ | 💗Shadows House💗 |\n💙@Cruzeiro ⚽ @LFC🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f | @dailyemilyko admin 📝', 'renderedDescription': '➡️Header: @1Nicorniosan /Icon: @alfisoi⬅️ | 💗Shadows House💗 |\n💙@Cruzeiro ⚽ @LFC🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f | @dailyemilyko admin 📝', 'descriptionLinks': None, 'verified': False, 'created': '2017-09-24T06:51:44+00:00', 'followersCount': 357, 'friendsCount': 689, 'statusesCount': 8851, 'favouritesCount': 31468, 'listedCount': 4, 'mediaCount': 1093, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1608650447518158849/TmGYbhv2_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/911845590417510401/1672870043', 'label': None, 'url': 'https://twitter.com/enzmig1'}",1,0,1,0,1616922704002617347,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,1.6169227040026173e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jshiika', 'id': 1500719266756272130, 'displayname': 'Jéssica', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/jshiika'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'jshiika', 'id': 1500719266756272130, 'displayname': 'Jéssica', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/jshiika'}]",,,,,,33.0,
snscrape.modules.twitter.Tweet,https://twitter.com/Tommy_Byrn/status/1616948750869463041,2023-01-21 23:59:58+00:00,"my main problem with Scream V is the fact that the Machers house is waaaay bigger in Scream 

it throws the the geography of the final act way off AND the pedantic way I complain about it is why i’ll die alone #Scream","my main problem with Scream V is the fact that the Machers house is waaaay bigger in Scream 

it throws the the geography of the final act way off AND the pedantic way I complain about it is why i’ll die alone #Scream",1616948750869463041,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tommy_Byrn', 'id': 17549039, 'displayname': 'Tommy', 'rawDescription': ""A retro pastiche that's never gonna be a breakaway pop hit! I help make TV! Opinions my own! Insta: https://t.co/c04BcAIFa0 He/Him"", 'renderedDescription': ""A retro pastiche that's never gonna be a breakaway pop hit! I help make TV! Opinions my own! Insta: Instagram.com/tommy__byrne He/Him"", 'descriptionLinks': [{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'Instagram.com/tommy__byrne', 'url': 'http://Instagram.com/tommy__byrne', 'tcourl': 'https://t.co/c04BcAIFa0', 'indices': [100, 123]}], 'verified': False, 'created': '2008-11-21T23:57:38+00:00', 'followersCount': 1341, 'friendsCount': 2625, 'statusesCount': 47846, 'favouritesCount': 82132, 'listedCount': 5, 'mediaCount': 4651, 'location': 'Dublin City, Ireland', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1580500770964865024/zVIjyfn-_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/17549039/1634557227', 'label': None, 'url': 'https://twitter.com/Tommy_Byrn'}",2,0,3,0,1616948750869463041,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,"{'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': -6.387438, 'latitude': 53.2987449}","{'_type': 'snscrape.modules.twitter.Place', 'id': '7dde0febc9ef245b', 'fullName': 'Dublin City, Ireland', 'name': 'Dublin City', 'type': 'city', 'country': 'Ireland', 'countryCode': 'IE'}",['Scream'],,,1078.0,
snscrape.modules.twitter.Tweet,https://twitter.com/BeachyVibes4/status/1616948749372166147,2023-01-21 23:59:57+00:00,@wrong_speak Surely Biden will over it a position in the white house,@wrong_speak Surely Biden will over it a position in the white house,1616948749372166147,"{'_type': 'snscrape.modules.twitter.User', 'username': 'BeachyVibes4', 'id': 1463222841525026818, 'displayname': 'BeachyVibes 🇺🇲 🐊🔆', 'rawDescription': ""Thank you #ChiefTwit. Don't move to a red state and vote for the same policies that made you leave your blue state. #DaddyD #PapsitoDeSantis is the GOAT❤️ #FJB"", 'renderedDescription': ""Thank you #ChiefTwit. Don't move to a red state and vote for the same policies that made you leave your blue state. #DaddyD #PapsitoDeSantis is the GOAT❤️ #FJB"", 'descriptionLinks': None, 'verified': False, 'created': '2021-11-23T19:08:37+00:00', 'followersCount': 532, 'friendsCount': 892, 'statusesCount': 5835, 'favouritesCount': 6320, 'listedCount': 0, 'mediaCount': 758, 'location': 'Miami, FL ⛱️', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1610796754982535171/HfvuBbxA_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1463222841525026818/1672774124', 'label': None, 'url': 'https://twitter.com/BeachyVibes4'}",1,0,1,0,1616894994278715392,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,1.6168949942787154e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'wrong_speak', 'id': 1297839315326836738, 'displayname': 'Adam B. Coleman, President of Aintblackistan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/wrong_speak'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'wrong_speak', 'id': 1297839315326836738, 'displayname': 'Adam B. Coleman, President of Aintblackistan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/wrong_speak'}]",,,,,,24.0,
snscrape.modules.twitter.Tweet,https://twitter.com/GoodDealington/status/1616948745022717953,2023-01-21 23:59:56+00:00,"This is neat. Noel Gallagher’s HFB with Milly Alcock (House of the Dragon) acting in the music video.

https://t.co/TOEYbGj6m4","This is neat. Noel Gallagher’s HFB with Milly Alcock (House of the Dragon) acting in the music video.

youtu.be/JoZ3leKz9x4",1616948745022717953,"{'_type': 'snscrape.modules.twitter.User', 'username': 'GoodDealington', 'id': 2745416387, 'displayname': 'N to the ick', 'rawDescription': 'BY ORDER OF THE PEAKY FUCKIN’ BLINDERS', 'renderedDescription': 'BY ORDER OF THE PEAKY FUCKIN’ BLINDERS', 'descriptionLinks': None, 'verified': False, 'created': '2014-08-17T14:59:42+00:00', 'followersCount': 55, 'friendsCount': 153, 'statusesCount': 1116, 'favouritesCount': 42982, 'listedCount': 1, 'mediaCount': 34, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1615512489558433792/hQ3EJFdZ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2745416387/1674034134', 'label': None, 'url': 'https://twitter.com/GoodDealington'}",0,0,0,0,1616948745022717953,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'youtu.be/JoZ3leKz9x4', 'url': 'https://youtu.be/JoZ3leKz9x4', 'tcourl': 'https://t.co/TOEYbGj6m4', 'indices': [103, 126]}]",,,,,,,,,,,"{'_type': 'snscrape.modules.twitter.PlayerCard', 'title': ""Noel Gallagher's High Flying Birds - Easy Now (Official Video)"", 'url': 'https://youtu.be/JoZ3leKz9x4', 'description': ""Official video for 'Easy Now' ft. Milly Alcock. 'Easy Now' is the second single taken from Noel Gallagher's High Flying Birds' forthcoming album 'Council Ski..."", 'imageUrl': 'https://pbs.twimg.com/card_img/1615270465936789505/-sNEeCJg?format=jpg&name=orig', 'siteUser': {'_type': 'snscrape.modules.twitter.User', 'username': 'YouTube', 'id': 10228272, 'displayname': 'YouTube', 'rawDescription': 'like and subscribe.', 'renderedDescription': 'like and subscribe.', 'descriptionLinks': None, 'verified': True, 'created': '2007-11-13T21:43:46+00:00', 'followersCount': 78695797, 'friendsCount': 1192, 'statusesCount': 50670, 'favouritesCount': 6136, 'listedCount': 80094, 'mediaCount': 15078, 'location': 'San Bruno, CA', 'protected': False, 'link': {'_type': 'snscrape.modules.twitter.TextLink', 'text': 'youtube.com', 'url': 'http://youtube.com', 'tcourl': 'https://t.co/bUisN3Y1A6', 'indices': [0, 23]}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/10228272/1670547873', 'label': None, 'url': 'https://twitter.com/YouTube'}}",179.0,
snscrape.modules.twitter.Tweet,https://twitter.com/jmrichards23/status/1616948744959787008,2023-01-21 23:59:56+00:00,@jakeshfsteelers You can’t criticise the “experts” in the White House.,@jakeshfsteelers You can’t criticise the “experts” in the White House.,1616948744959787008,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jmrichards23', 'id': 66781483, 'displayname': 'Jordan Richards', 'rawDescription': 'Sports nerd, born and bred in Yorkshire! @NHLFlames @steelershockey @swfc @yorkshireccc @Leicestertigers', 'renderedDescription': 'Sports nerd, born and bred in Yorkshire! @NHLFlames @steelershockey @swfc @yorkshireccc @Leicestertigers', 'descriptionLinks': None, 'verified': False, 'created': '2009-08-18T19:55:05+00:00', 'followersCount': 136, 'friendsCount': 913, 'statusesCount': 6403, 'favouritesCount': 2730, 'listedCount': 6, 'mediaCount': 378, 'location': 'Cheam, Surrey', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1211714178307837954/pQG8aQ9I_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/66781483/1577716400', 'label': None, 'url': 'https://twitter.com/jmrichards23'}",1,0,1,0,1616916613025914886,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,1.616916613025915e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jakeshfsteelers', 'id': 43303587, 'displayname': 'Jake 🍊', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/jakeshfsteelers'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'jakeshfsteelers', 'id': 43303587, 'displayname': 'Jake 🍊', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/jakeshfsteelers'}]",,,,,,147.0,
snscrape.modules.twitter.Tweet,https://twitter.com/ttv2quik/status/1616948739167424513,2023-01-21 23:59:55+00:00,@Jinerette @catlyncrespo In ny thtll buy u a small crack house lol,@Jinerette @catlyncrespo In ny thtll buy u a small crack house lol,1616948739167424513,"{'_type': 'snscrape.modules.twitter.User', 'username': 'ttv2quik', 'id': 1575226976968769595, 'displayname': '2quik🎯', 'rawDescription': 'casually streaming for fun @playapex @callofduty dm me if ya down to play! Valk main horizon backup', 'renderedDescription': 'casually streaming for fun @playapex @callofduty dm me if ya down to play! Valk main horizon backup', 'descriptionLinks': None, 'verified': False, 'created': '2022-09-28T20:56:59+00:00', 'followersCount': 415, 'friendsCount': 704, 'statusesCount': 823, 'favouritesCount': 632, 'listedCount': 0, 'mediaCount': 58, 'location': 'New York, NY', 'protected': False, 'link': {'_type': 'snscrape.modules.twitter.TextLink', 'text': 'twitch.tv/ttv2quik', 'url': 'http://twitch.tv/ttv2quik', 'tcourl': 'https://t.co/vmP4AKUQSp', 'indices': [0, 23]}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1598440863918596096/ws2UinSc_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1575226976968769595/1673373977', 'label': None, 'url': 'https://twitter.com/ttv2quik'}",0,0,1,0,1616906398498947073,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,1.61693943014042e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Jinerette', 'id': 137171747, 'displayname': 'Claudette', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/Jinerette'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'Jinerette', 'id': 137171747, 'displayname': 'Claudette', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/Jinerette'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'catlyncrespo', 'id': 1908978840, 'displayname': 'cate 🦋', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/catlyncrespo'}]",,,,,,327.0,
snscrape.modules.twitter.Tweet,https://twitter.com/andrewlbyrne/status/1616948738542522369,2023-01-21 23:59:55+00:00,"@retrowedding68 @Bill_Esterson @SmallPlanIT Trouble is who runs it same cohort as NHS? LUL took maintenance back in house in 2019 that department has 3x the debt it had all management recruited from same maintenance companies that robbed LUL in first place. 
I think the gov should control strategic services","@retrowedding68 @Bill_Esterson @SmallPlanIT Trouble is who runs it same cohort as NHS? LUL took maintenance back in house in 2019 that department has 3x the debt it had all management recruited from same maintenance companies that robbed LUL in first place. 
I think the gov should control strategic services",1616948738542522369,"{'_type': 'snscrape.modules.twitter.User', 'username': 'andrewlbyrne', 'id': 25252217, 'displayname': 'andrew byrne', 'rawDescription': 'Defiant seeker:\n 50 strangers more than enough', 'renderedDescription': 'Defiant seeker:\n 50 strangers more than enough', 'descriptionLinks': None, 'verified': False, 'created': '2009-03-19T06:46:47+00:00', 'followersCount': 475, 'friendsCount': 356, 'statusesCount': 20921, 'favouritesCount': 30531, 'listedCount': 6, 'mediaCount': 3215, 'location': 'kingston upon thames', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/102805792/11_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/andrewlbyrne'}",0,0,2,0,1616135701803978753,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,1.6169399278073487e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'retrowedding68', 'id': 824313319477673984, 'displayname': 'Angela', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/retrowedding68'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'retrowedding68', 'id': 824313319477673984, 'displayname': 'Angela', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/retrowedding68'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'Bill_Esterson', 'id': 120720108, 'displayname': 'Bill Esterson', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/Bill_Esterson'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'SmallPlanIT', 'id': 2340234660, 'displayname': 'Annie Laurie - #Enoughisenough', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/SmallPlanIT'}]",,,,,,4.0,
